measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,1,Global,1,Male,22,All Ages,297,Tuberculosis,1,Number,2015,727238.33187002,974906.29462052,545161.21792212
1,Deaths,1,Global,1,Male,22,All Ages,297,Tuberculosis,3,Rate,2015,19.572900783,26.238639839,14.672474936
1,Deaths,1,Global,1,Male,22,All Ages,299,HIV/AIDS - Tuberculosis,1,Number,2015,117243.75119531,135656.84269831,90737.053892167
1,Deaths,1,Global,1,Male,22,All Ages,299,HIV/AIDS - Tuberculosis,3,Rate,2015,3.1554995079999997,3.65106971,2.442098048
1,Deaths,1,Global,1,Male,23,5-14 years,297,Tuberculosis,1,Number,2015,6592.243269701,10787.016215966,5233.8783207152
1,Deaths,1,Global,1,Male,23,5-14 years,297,Tuberculosis,3,Rate,2015,1.027329108,1.6810387020000002,0.8156427611999999
1,Deaths,1,Global,1,Male,23,5-14 years,299,HIV/AIDS - Tuberculosis,1,Number,2015,8351.4522284983,9962.6250856409,6135.5690193739
1,Deaths,1,Global,1,Male,23,5-14 years,299,HIV/AIDS - Tuberculosis,3,Rate,2015,1.301482644,1.5525663909999998,0.9561614206
1,Deaths,1,Global,1,Male,24,15-49 years,297,Tuberculosis,1,Number,2015,266512.91134082,347428.8631641,196672.42195844
1,Deaths,1,Global,1,Male,24,15-49 years,297,Tuberculosis,3,Rate,2015,13.736962865,17.907640722,10.137151548
1,Deaths,1,Global,1,Male,24,15-49 years,299,HIV/AIDS - Tuberculosis,1,Number,2015,78235.372522301,91371.761596793,60186.755269745
1,Deaths,1,Global,1,Male,24,15-49 years,299,HIV/AIDS - Tuberculosis,3,Rate,2015,4.032511788,4.709605128,3.1022256740000005
1,Deaths,1,Global,1,Male,25,50-69 years,297,Tuberculosis,1,Number,2015,276200.85068048,374703.66332286,205707.68720884
1,Deaths,1,Global,1,Male,25,50-69 years,297,Tuberculosis,3,Rate,2015,44.891698053,60.901639517,33.434247598
1,Deaths,1,Global,1,Male,25,50-69 years,299,HIV/AIDS - Tuberculosis,1,Number,2015,19286.073654987,22275.122772576,15615.459387611
1,Deaths,1,Global,1,Male,25,50-69 years,299,HIV/AIDS - Tuberculosis,3,Rate,2015,3.1346196920000002,3.620438292,2.538024455
1,Deaths,1,Global,1,Male,26,70+ years,297,Tuberculosis,1,Number,2015,166112.67399132,233838.73350911,123591.46784349
1,Deaths,1,Global,1,Male,26,70+ years,297,Tuberculosis,3,Rate,2015,96.955761546,136.485742405,72.13720819
1,Deaths,1,Global,1,Male,26,70+ years,299,HIV/AIDS - Tuberculosis,1,Number,2015,2023.8895947128,2342.6126701046,1671.5522653062
1,Deaths,1,Global,1,Male,26,70+ years,299,HIV/AIDS - Tuberculosis,3,Rate,2015,1.181293101,1.367323694,0.9756427062
1,Deaths,1,Global,2,Female,1,Under 5,297,Tuberculosis,1,Number,2015,10481.231480199,14862.018580974,7782.1581480775
1,Deaths,1,Global,2,Female,1,Under 5,297,Tuberculosis,3,Rate,2015,3.23114873,4.581655594,2.399079858
1,Deaths,1,Global,2,Female,1,Under 5,299,HIV/AIDS - Tuberculosis,1,Number,2015,8884.3117795323,10187.881373355,6652.2811691084
1,Deaths,1,Global,2,Female,1,Under 5,299,HIV/AIDS - Tuberculosis,3,Rate,2015,2.738851254,3.140715125,2.050761941
1,Deaths,1,Global,3,Both,22,All Ages,297,Tuberculosis,1,Number,2015,1112606.9516259,1392788.8918578,909768.74913595
1,Deaths,1,Global,3,Both,22,All Ages,297,Tuberculosis,3,Rate,2015,15.094243280999999,18.895346146999998,12.342426634999999
1,Deaths,1,Global,3,Both,22,All Ages,299,HIV/AIDS - Tuberculosis,1,Number,2015,211736.47506818,245041.60771046,161856.62401472
1,Deaths,1,Global,3,Both,22,All Ages,299,HIV/AIDS - Tuberculosis,3,Rate,2015,2.872534424,3.324370118,2.195836714
1,Deaths,1,Global,3,Both,23,5-14 years,297,Tuberculosis,1,Number,2015,13331.741981217,18959.202289801,11005.968531233
1,Deaths,1,Global,3,Both,23,5-14 years,297,Tuberculosis,3,Rate,2015,1.074511511,1.5280733349999998,0.8870588317
1,Deaths,1,Global,3,Both,23,5-14 years,299,HIV/AIDS - Tuberculosis,1,Number,2015,15816.849775968,18932.150307641,11575.666032981
1,Deaths,1,Global,3,Both,23,5-14 years,299,HIV/AIDS - Tuberculosis,3,Rate,2015,1.274806164,1.525893094,0.9329753084
1,Deaths,1,Global,3,Both,24,15-49 years,297,Tuberculosis,1,Number,2015,386471.78677609,471755.88169365,312210.08914917
1,Deaths,1,Global,3,Both,24,15-49 years,297,Tuberculosis,3,Rate,2015,10.14996451,12.389793119,8.199619333000001
1,Deaths,1,Global,3,Both,24,15-49 years,299,HIV/AIDS - Tuberculosis,1,Number,2015,143068.23726829,167272.00376755,108200.87999423
1,Deaths,1,Global,3,Both,24,15-49 years,299,HIV/AIDS - Tuberculosis,3,Rate,2015,3.757422019,4.3930889660000005,2.841695459
1,Deaths,1,Global,3,Both,25,50-69 years,297,Tuberculosis,1,Number,2015,413485.74185916,519493.02980678,332963.18077885
1,Deaths,1,Global,3,Both,25,50-69 years,297,Tuberculosis,3,Rate,2015,32.997294329,41.456968755999995,26.571375201
1,Deaths,1,Global,3,Both,25,50-69 years,299,HIV/AIDS - Tuberculosis,1,Number,2015,31456.521904459,35753.901636195,25541.822382416
1,Deaths,1,Global,3,Both,25,50-69 years,299,HIV/AIDS - Tuberculosis,3,Rate,2015,2.510316699,2.853259321,2.038307503
1,Deaths,1,Global,3,Both,26,70+ years,297,Tuberculosis,1,Number,2015,277016.79694156,344499.59386484,225867.5207636
1,Deaths,1,Global,3,Both,26,70+ years,297,Tuberculosis,3,Rate,2015,69.58311423699999,86.533941794,56.735065299999995
1,Deaths,1,Global,3,Both,26,70+ years,299,HIV/AIDS - Tuberculosis,1,Number,2015,3163.5911451269,3615.3579722831,2609.9679624048
1,Deaths,1,Global,3,Both,26,70+ years,299,HIV/AIDS - Tuberculosis,3,Rate,2015,0.7946540791000001,0.9081321878,0.6555909295
1,Deaths,6,China,1,Male,22,All Ages,297,Tuberculosis,1,Number,2015,35936.715527956,58335.490513764,28955.202906023
1,Deaths,6,China,1,Male,22,All Ages,297,Tuberculosis,3,Rate,2015,5.044361751,8.188431093,4.064381574
1,Deaths,6,China,1,Male,22,All Ages,299,HIV/AIDS - Tuberculosis,1,Number,2015,1850.3211718482,2477.54077175,1477.7687052
1,Deaths,6,China,1,Male,22,All Ages,299,HIV/AIDS - Tuberculosis,3,Rate,2015,0.2597257208,0.3477672408,0.2074313215
1,Deaths,6,China,3,Both,22,All Ages,297,Tuberculosis,1,Number,2015,48922.306889097,76343.519027053,41054.512183666
1,Deaths,6,China,3,Both,22,All Ages,297,Tuberculosis,3,Rate,2015,3.536199438,5.518257966999999,2.967500041
1,Deaths,6,China,3,Both,22,All Ages,299,HIV/AIDS - Tuberculosis,1,Number,2015,2601.528995103,3491.3586265,2080.80568
1,Deaths,6,China,3,Both,22,All Ages,299,HIV/AIDS - Tuberculosis,3,Rate,2015,0.1880435775,0.2523622015,0.150404685
1,Deaths,6,China,3,Both,23,5-14 years,297,Tuberculosis,1,Number,2015,243.77243816022,327.54226459641,195.16865295019
1,Deaths,6,China,3,Both,23,5-14 years,297,Tuberculosis,3,Rate,2015,0.1578055503,0.212033774,0.12634200169999998
1,Deaths,6,China,3,Both,23,5-14 years,299,HIV/AIDS - Tuberculosis,1,Number,2015,32.5097397863,42.3889676,25.2896494
1,Deaths,6,China,3,Both,23,5-14 years,299,HIV/AIDS - Tuberculosis,3,Rate,2015,0.021045109120000002,0.02744040444,0.0163711988
1,Deaths,6,China,3,Both,24,15-49 years,297,Tuberculosis,1,Number,2015,9553.3857592536,13588.889389624,7925.7329560481
1,Deaths,6,China,3,Both,24,15-49 years,297,Tuberculosis,3,Rate,2015,1.264897401,1.7992104400000002,1.049391176
1,Deaths,6,China,3,Both,24,15-49 years,299,HIV/AIDS - Tuberculosis,1,Number,2015,1755.9689736656,2318.89286475,1382.55052475
1,Deaths,6,China,3,Both,24,15-49 years,299,HIV/AIDS - Tuberculosis,3,Rate,2015,0.2324956313,0.307028472,0.18305389630000002
1,Deaths,6,China,3,Both,25,50-69 years,297,Tuberculosis,1,Number,2015,19324.368167127,30277.28710032,16047.230339499
1,Deaths,6,China,3,Both,25,50-69 years,297,Tuberculosis,3,Rate,2015,6.242679956,9.780987602,5.1840102969999995
1,Deaths,6,China,3,Both,25,50-69 years,299,HIV/AIDS - Tuberculosis,1,Number,2015,647.40985619,906.93043455,539.43270715
1,Deaths,6,China,3,Both,25,50-69 years,299,HIV/AIDS - Tuberculosis,3,Rate,2015,0.20914383190000002,0.2929811899,0.1742621407
1,Deaths,6,China,3,Both,26,70+ years,297,Tuberculosis,1,Number,2015,19619.72932667,32226.435113404,16272.292703012
1,Deaths,6,China,3,Both,26,70+ years,297,Tuberculosis,3,Rate,2015,24.210216361,39.766551344999996,20.079570822
1,Deaths,6,China,3,Both,26,70+ years,299,HIV/AIDS - Tuberculosis,1,Number,2015,104.7246442933,144.7259241,86.24024405
1,Deaths,6,China,3,Both,26,70+ years,299,HIV/AIDS - Tuberculosis,3,Rate,2015,0.1292273851,0.1785878908,0.10641813330000001
1,Deaths,13,Malaysia,1,Male,1,Under 5,297,Tuberculosis,1,Number,2015,1.7525434372775,3.5352841364762,0.64736227959103
1,Deaths,13,Malaysia,1,Male,1,Under 5,297,Tuberculosis,3,Rate,2015,0.13957169360000002,0.2815482731,0.05155561098
1,Deaths,13,Malaysia,1,Male,1,Under 5,299,HIV/AIDS - Tuberculosis,1,Number,2015,0.3413405082,0.58060665,0.26381255
1,Deaths,13,Malaysia,1,Male,1,Under 5,299,HIV/AIDS - Tuberculosis,3,Rate,2015,0.02718418841,0.04623922507,0.02100990031
1,Deaths,13,Malaysia,3,Both,1,Under 5,297,Tuberculosis,1,Number,2015,3.4075222059635,6.1951679002369,1.2187664936556
1,Deaths,13,Malaysia,3,Both,1,Under 5,297,Tuberculosis,3,Rate,2015,0.13956724839999998,0.2537452474,0.04991893547
1,Deaths,13,Malaysia,3,Both,1,Under 5,299,HIV/AIDS - Tuberculosis,1,Number,2015,0.6629009945,1.12756825,0.51233765
1,Deaths,13,Malaysia,3,Both,1,Under 5,299,HIV/AIDS - Tuberculosis,3,Rate,2015,0.027151480710000002,0.046183586730000004,0.0209846192
1,Deaths,91,Portugal,3,Both,22,All Ages,297,Tuberculosis,1,Number,2015,222.44849806974,246.11421177221,200.12570352809
1,Deaths,91,Portugal,3,Both,22,All Ages,297,Tuberculosis,3,Rate,2015,2.059759754,2.2788923160000003,1.853062167
1,Deaths,91,Portugal,3,Both,22,All Ages,299,HIV/AIDS - Tuberculosis,1,Number,2015,64.6606264651,71.8603521,58.3539876
